time,ax,ay,az
1.495,0.20,0.69,-0.39
1.501,0.16,0.77,-0.25
1.510,0.22,1.01,-0.52
1.511,0.28,1.03,-0.68
1.516,0.04,1.27,-0.92
1.522,0.05,1.47,-0.91
1.526,0.01,1.66,-0.70
1.531,-0.06,2.64,0.38
1.541,0.23,2.36,0.33
1.544,0.51,2.29,0.17
1.546,0.69,1.93,-0.07
1.551,1.15,1.78,-0.26
1.556,1.24,1.50,0.06
1.562,1.42,1.00,0.48
1.568,1.52,0.56,1.14
1.577,1.68,0.12,1.49
1.580,1.61,-0.31,1.76
1.582,1.42,-0.63,1.98
1.586,0.84,-0.94,2.36
1.602,0.37,-1.14,2.35
1.603,-0.23,-1.18,2.33
1.604,-0.55,-1.36,1.95
1.605,-0.84,-1.29,1.63
1.607,-0.74,-1.40,1.47
1.611,-0.85,-1.21,1.22
1.616,-0.71,-0.97,0.99
1.624,-0.78,-0.84,0.78
1.626,-0.70,-0.61,0.42
1.631,-0.21,-0.36,-0.01
1.636,0.20,-0.11,-0.49
1.641,1.03,-0.38,-1.05
1.647,1.78,-0.65,-1.70
1.654,2.25,-0.82,-2.16
1.661,2.27,-1.03,-2.21
1.663,2.15,-1.12,-2.17
1.667,1.65,-1.10,-1.97
1.673,0.91,-0.92,-1.67
1.697,0.23,-0.53,-1.21
1.699,-0.25,-0.21,-0.41
1.701,-0.50,0.04,0.21
1.702,-0.75,0.30,0.79
1.704,-0.77,0.70,1.18
1.706,-0.58,0.81,1.44
1.708,-0.17,0.81,1.45
1.715,0.26,0.67,1.32
1.717,0.77,0.50,1.16
1.722,1.23,0.31,1.06
1.729,1.76,0.12,0.95
1.732,2.24,-0.07,0.84
1.737,1.82,1.63,0.41
1.745,1.39,2.52,1.87
1.747,1.58,2.86,1.66
1.752,1.81,3.06,1.29
1.761,1.83,3.44,1.12
1.762,2.05,3.83,1.11
1.767,2.25,4.23,1.12
1.782,2.64,4.44,1.21
1.783,3.02,4.46,1.28
1.784,3.26,4.62,1.32
1.787,3.52,4.82,1.34
1.792,4.02,4.84,0.58
1.797,4.30,4.84,-0.21
1.805,4.39,5.01,-0.55
1.808,4.44,5.40,-0.68
1.813,4.45,5.68,-0.88
1.817,4.48,5.98,-0.89
1.822,4.45,6.29,-0.58
1.828,4.28,6.55,-0.24
1.835,4.09,6.79,0.14
1.838,3.90,7.02,0.54
1.843,3.67,7.12,0.89
1.848,3.49,7.27,1.15
1.854,3.30,7.33,1.32
1.858,3.08,7.34,1.39
1.867,2.96,7.38,1.40
1.869,2.94,7.35,1.55
1.882,2.93,7.25,1.71
1.888,3.14,6.71,1.77
1.890,3.55,5.88,1.59
1.891,3.72,5.40,1.25
1.919,3.64,5.27,0.95
1.922,3.47,5.45,0.84
1.923,3.19,6.01,1.07
1.925,3.13,6.25,1.53
1.926,3.66,5.57,1.33
1.928,3.63,3.84,-0.07
